pop	sample_set	country	year	location	species_gambiae_coluzzii	latitude	longitude	aim_fraction_colu	aim_fraction_arab	counts	chrom	sample_size	independent_comparisons	overall_r^2	expected_r^2	Ne_estimate	Parametric_CI_lower	Parametric_CI_upper	Jackknife_CI_lower	Jackknife_CI_upper
AG1000G-BF-B.Souroukoudinga.2014.gambiae	AG1000G-BF-B	Burkina Faso	2014	Souroukoudinga	gambiae	11.235000000000003	-4.534999999999998	0.023400000000000008	0.0022000000000000006	15	2R	15.0	48358694	0.080925	0.082000	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-BF-B.Souroukoudinga.2014.gambiae	AG1000G-BF-B	Burkina Faso	2014	Souroukoudinga	gambiae	11.235000000000003	-4.534999999999998	0.023400000000000008	0.0022000000000000006	15	3L	15.0	48802260	0.080776	0.082000	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-BF-B.Souroukoudinga.2014.gambiae	AG1000G-BF-B	Burkina Faso	2014	Souroukoudinga	gambiae	11.235000000000003	-4.534999999999998	0.023400000000000008	0.0022000000000000006	15	3R	15.0	48752873	0.080552	0.082000	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-BF-B.Souroukoudinga.2014.gambiae	AG1000G-BF-B	Burkina Faso	2014	Souroukoudinga	gambiae	11.235000000000003	-4.534999999999998	0.023400000000000008	0.0022000000000000006	15	X	15.0	48555585	0.080220	0.082000	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-BF-C.Monomtenga.2004.gambiae	AG1000G-BF-C	Burkina Faso	2004	Monomtenga	gambiae	12.06	-1.17	0.024076923076923083	0.0021538461538461546	13	2L	13.0	47516623	0.096427	0.097841	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-BF-C.Monomtenga.2004.gambiae	AG1000G-BF-C	Burkina Faso	2004	Monomtenga	gambiae	12.06	-1.17	0.024076923076923083	0.0021538461538461546	13	2R	13.0	47956319	0.095995	0.097841	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-BF-C.Monomtenga.2004.gambiae	AG1000G-BF-C	Burkina Faso	2004	Monomtenga	gambiae	12.06	-1.17	0.024076923076923083	0.0021538461538461546	13	3L	13.0	48270224	0.096085	0.097841	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-BF-C.Monomtenga.2004.gambiae	AG1000G-BF-C	Burkina Faso	2004	Monomtenga	gambiae	12.06	-1.17	0.024076923076923083	0.0021538461538461546	13	3R	13.0	48280050	0.095382	0.097841	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-BF-C.Monomtenga.2004.gambiae	AG1000G-BF-C	Burkina Faso	2004	Monomtenga	gambiae	12.06	-1.17	0.024076923076923083	0.0021538461538461546	13	X	13.0	48280050	0.093163	0.097841	Infinite	Infinite	Infinite	Infinite	Infinite
AG1000G-CD.Gbadolite.2015.gambiae	AG1000G-CD	Democratic Republic of Congo	2015	Gbadolite	gambiae	4.282999999999999	21.017000000000035	0.024776315789473667	0.0023552631578947388	76	2L	76.0	45424744	0.017734	0.013710	80.7	80.6	80.9	52.4	145.9
AG1000G-CD.Gbadolite.2015.gambiae	AG1000G-CD	Democratic Republic of Congo	2015	Gbadolite	gambiae	4.282999999999999	21.017000000000035	0.024776315789473667	0.0023552631578947388	76	2R	76.0	45960075	0.016577	0.013710	114.2	113.9	114.4	64.7	303.2
AG1000G-CD.Gbadolite.2015.gambiae	AG1000G-CD	Democratic Republic of Congo	2015	Gbadolite	gambiae	4.282999999999999	21.017000000000035	0.024776315789473667	0.0023552631578947388	76	3L	76.0	46923826	0.016331	0.013710	125.1	124.8	125.4	71.4	332.7
AG1000G-CD.Gbadolite.2015.gambiae	AG1000G-CD	Democratic Republic of Congo	2015	Gbadolite	gambiae	4.282999999999999	21.017000000000035	0.024776315789473667	0.0023552631578947388	76	3R	76.0	46267388	0.016205	0.013710	131.5	131.1	131.8	73.9	373.0
